"TSectors","Intensity"
"Agricultural",22.8
"Air Force",0
"Army",0
"Army Headquarters",40.8
"Business",22.8
"Catholic",0
"Communist",0
"Criminals",0
"Dissident",76.3
"Education",12.8
"Elite",24.8
"Ethnic NGOs",19.8
"General Population",0
"Government",0
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Intelligence Ministry",0
"Justice",0
"Legal",0
"Media",24.8
"Medical",0
"Military",19.8
"National",0
"National Religious",10.4
"Navy",0
"Nongovernmental Organization (International)",0
"Organized Violent",0
"Police",23.8
"Protestors",21.8
"Radicals",0
"Rebel",0
"Social",350.7
"South American Indigenous",0
"Unidentified Forces",33.3
