"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Arab",0
"Beja",0
"Business",6.2
"Criminals",24.7
"Dissident",0
"Education",16.4
"General Population",0
"Government",0
"Government Major Party (In Government)",0
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",19.2
"Intelligence Ministry",0
"International Ethnic",63.2
"International Religious",0
"Labor",9.2
"Local",0
"Media",9.2
"Military",35.9
"National Ethnic",0
"National Ethnic Minority",0
"Nongovernmental Organization (International)",13.2
"Nongovernmental Organizations",8.2
"Police",11.7
"Print News",0
"Protestors",19.8
"Provincial",0
"Rebel",48.8
"Refugees",0
"Social",470.9
"Unidentified Forces",41.2
"Women",0
