"TSectors","Intensity"
"Agricultural",0
"Business",30.7
"Christian",0
"Criminals",26.2
"Dissident",104.3
"Education",8.8
"Elections Ministry",12.8
"Exiles",0
"General Population",0
"Human Rights IGOs",0
"Human Rights NGOs",46.8
"Ideological",0
"Insurgents",0
"International Dissident",0
"International Insurgents",0
"International Religious",9.8
"Labor",0
"Legal",12.8
"Marines",0
"Media",0
"Military",23.8
"Municipal",0
"National Religious",71.3
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",131
"Protestors",0
"Radicals",12.8
"Rebel",20.8
"Separatists",0
"Social",541
"State Owned Enterprises",0
"State-Owned Transportation",10.8
"Sunni",0
"Unidentified Forces",20.8
