"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Berber-Kabyle",0
"Business",0
"Criminals",30.2
"Dissident",0
"Education",0
"Elite",0
"Ethnic NGOs",0
"Fundamentalist",0
"General Population",66.2
"Government",0
"Housing",0
"Human Rights IGOs",0
"Insurgents",0
"International Religious",27.2
"Judicial",0
"Labor",0
"Legal",0
"Legislative",0
"Local",0
"Media",19.2
"Medical",0
"Military",48.2
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Police",30.2
"Protestors",0
"Provincial",0
"Radicals",40.2
"Rebel",0
"Separatists",0
"Social",54.2
"Unidentified Forces",0
