"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",0
"Criminals",82
"Defense",0
"Dissident",83.8
"Education",36.4
"Elite",24.1
"Executive",80.6
"General Population",1376.3
"Government",1552.5
"Intelligence Ministry",0
"Interior",0
"International Religious",78.4
"Judicial",288.9
"Kurd (Ethnic Group)",13.9
"Labor",32.9
"Legal",33.4
"Legislative",0
"Local",22.4
"Media",0
"Medical",0
"Military",0
"Muslim",69.4
"National Religious",0
"Nongovernmental Organizations",27.4
"Parties",0
"Police",441.4
"Protestors",31.4
"Provincial",0
"Radicals",27.4
"Rebel",149.8
"Social",852.6
"Sunni",0
"Unidentified Forces",171.4
