"TSectors","Intensity"
"(National) Minor Party",0
"Army",0
"Catholic",0
"Criminals",0
"Dissident",43
"Education",0
"Executive Office",0
"General Population",112.8
"Government",130.5
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",120.6
"International Religious",11.6
"Kurd (Ethnic Group)",14.2
"Labor",0
"Legal",0
"Local",7.2
"Media",0
"Military",59.7
"Municipal",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",28.2
"Protestors",0
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",0
"Social",0
"Unidentified Forces",0
