"TSectors","Intensity"
"Agricultural",9.7
"Buddhist",21.3
"Business",9.6
"Criminals",74.9
"Dissident",87.9
"Education",0
"Exiles",0
"Finance",0
"General Population",10.1
"Government",7.3
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",0
"International Religious",20.9
"Local",11.5
"Media",19.9
"Medical",16.9
"Municipal",0
"Muslim",0
"National Ethnic",0
"National Religious",34.9
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",9.9
"Police",33.4
"Protestors",36.9
"Provincial",14.9
"Radicals",0
"Rebel",0
"Separatists",0
"Social",469.8
"State Media",0
"Unidentified Forces",19.9
"Uyghur",0
