"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Criminals",6
"Defense",0
"Dissident",112
"Education",0
"Far Left",40
"Far Right",0
"General Population",79.1
"Government",62.8
"Human Rights IGOs",0
"Human Rights NGOs",11
"Ideological",72.7
"Insurgents",0
"International Ethnic",0
"Labor",20
"Legislative",5
"Local",0
"Marines",0
"Media",0
"Medical",0
"Military",161
"Municipal",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",0
"Police",39
"Protestors",0
"Provincial",0
"Rebel",0
"Social",147
"South American Indigenous",0
"Unidentified Forces",6
