"TSectors","Intensity"
"Agricultural",19.7
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",0
"Dissident",167.3
"Education",0
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",91.9
"Government",46
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"International Ethnic",0
"Kurd (Ethnic Group)",66.3
"Labor",15.3
"Labor NGOs",0
"Legal",0
"Media",11.3
"Military",8.9
"Military Intelligence",8.3
"National",0
"Nongovernmental Organization (International)",33.3
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Radicals",0
"Radio News",0
"Rebel",20.3
"Social",120.4
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",44.5
