"TSectors","Intensity"
"Agricultural",0
"Buddhist",0
"Business",52.2
"Criminals",0
"Dissident",272
"Education",51.2
"Exiles",0
"Finance",29.9
"General Population",349.3
"Government",59.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",25.4
"International Ethnic",0
"International Religious",0
"Local",33.4
"Media",0
"Medical",38.4
"Municipal",31.4
"Muslim",0
"National Ethnic",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",46.4
"Police",33.6
"Protestors",42.4
"Provincial",43.4
"Radicals",0
"Rebel",0
"Separatists",86.2
"Social",395.7
"State Media",0
"Unidentified Forces",0
"Uyghur",0
