"TSectors","Intensity"
"(National) Minor Party",9
"Army",0
"Catholic",0
"Criminals",18.2
"Dissident",151
"Education",0
"Executive Office",0
"General Population",142.6
"Government",351.1
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",61
"International Religious",0
"Kurd (Ethnic Group)",53.6
"Labor",0
"Legal",0
"Local",0
"Media",0
"Military",170
"Municipal",0
"Muslim",4
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",58
"Police",0
"Protestors",0
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",0
"Social",137
"Unidentified Forces",0
