"TSectors","Intensity"
"(National) Major Party",0
"Army",0
"Business",0
"Criminals",103.2
"Dissident",0
"Education",42
"Executive",0
"Fundamentalist",0
"General Population",1116.8
"Government",194.8
"Ideological",230.6
"Insurgents",0
"Intelligence Ministry",0
"International Religious",536.6
"Judicial",0
"Labor",76
"Legal",0
"Legislative",25
"Local",64.2
"Media",32.2
"Medical",0
"Military",424
"Municipal",0
"National Religious",20
"Nongovernmental Organizations",0
"Parties",9.6
"Police",383.6
"Protestors",29.2
"Provincial",0
"Radicals",0
"Rebel",96
"Social",23
"Sunni",0
"Unidentified Forces",124
