"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Business",0
"Center Right",27.8
"Communist",0
"Criminals",0
"Dissident",19
"Education",34.6
"Elite",0
"Executive",15.2
"Executive Office",24.6
"General Population",18.2
"Government",30.3
"Government Major Party (In Government)",0
"Ideological",25.6
"Judicial",0
"Labor",29.6
"Legal",0
"Local",0
"Medical",0
"Military",0
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Rebel",0
"Social",0
"Unidentified Forces",24.6
"Upper House",0
