"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",14.4
"Business",98.4
"Criminals",343.9
"Dissident",46.4
"Education",163.9
"General Population",0
"Government",879
"Government Major Party (In Government)",61.9
"Human Rights IGOs",73.6
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Religious",49.4
"Kashmiri",0
"Labor",65.4
"Legislative",0
"Media",0
"Medical",26.4
"Military",76.2
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",40.8
"Nongovernmental Organizations",41.2
"Opposition Major Party (Out Of Government)",95.7
"Parties",6
"Police",172.4
"Protestors",71.6
"Radicals",35
"Rebel",7.4
"Separatists",0
"Sikh",14.4
"Social",4965.7
"Unidentified Forces",32.4
