"TSectors","Intensity"
"(National) Major Party",58.3
"Agricultural",39
"Business",83.1
"Criminals",0
"Dissident",439.7
"Education",30
"General Population",10
"Government",316.9
"Government Major Party (In Government)",22.3
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",13.1
"Insurgents",10
"International Religious",37
"Kashmiri",0
"Labor",26
"Legislative",107.5
"Media",4.6
"Medical",4
"Military",99.6
"Muslim",3
"National Religious",79.5
"Nongovernmental Organization (International)",24.9
"Nongovernmental Organizations",17.2
"Opposition Major Party (Out Of Government)",0
"Parties",88.9
"Police",139.9
"Protestors",0
"Radicals",0
"Rebel",51.4
"Separatists",41
"Sikh",0
"Social",1957.4
"Unidentified Forces",89
