"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Berber-Kabyle",0
"Business",0
"Criminals",0
"Dissident",12
"Education",0
"Elite",4.2
"Ethnic NGOs",0
"Fundamentalist",0
"General Population",55.6
"Government",21.3
"Housing",0
"Human Rights IGOs",0
"Insurgents",0
"International Religious",0
"Judicial",0
"Labor",0
"Legal",0
"Legislative",5
"Local",0
"Media",0
"Medical",0
"Military",1.1
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Police",0
"Protestors",9
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",0
"Unidentified Forces",12
