"TSectors","Intensity"
"Agricultural",0
"Banned Parties",0
"Business",24.8
"Criminals",62
"Defense",0
"Dissident",51
"Education",0
"Elite",0
"Executive",10.2
"General Population",434.6
"Government",194
"Intelligence Ministry",0
"Interior",0
"International Religious",48
"Judicial",0
"Kurd (Ethnic Group)",14.6
"Labor",80
"Legal",0
"Legislative",55.5
"Local",0
"Media",53
"Medical",22
"Military",137.6
"Muslim",0
"National Religious",37.6
"Nongovernmental Organizations",22
"Parties",0
"Police",0
"Protestors",0
"Provincial",21
"Radicals",32
"Rebel",32
"Social",430
"Sunni",0
"Unidentified Forces",167
