"TSectors","Intensity"
"Agricultural",0
"Business",17
"Catholic",0
"Criminals",0
"Dissident",45
"Education",0
"Entertainment",0
"Environment Ministry",0
"General Population",0
"Government",47.8
"Human Rights NGOs",0
"International Religious",0
"Justice",26.3
"Labor",0
"Legal",8
"Legislative",0.6
"Local",0
"Media",0
"Medical",0
"Military",0
"Municipal",5
"Muslim",0
"National Religious",0
"Nilotic",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",3
"Police",66
"Protestors",0
"Provincial",2
"Rebel",0
"Refugees",0
"Social",180.2
"Television Entertainment",0
"Unidentified Forces",12
"Upper House",0
