"TSectors","Intensity"
"(National) Major Party",50
"Agricultural",0
"Arab",0
"Beja",0
"Business",48.9
"Criminals",72.4
"Dissident",74.4
"Education",0
"General Population",0
"Government",42.6
"Government Major Party (In Government)",0
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",52.4
"Intelligence Ministry",0
"International Ethnic",39.8
"International Religious",0
"Labor",42.8
"Local",56.8
"Media",76.4
"Military",63.4
"National Ethnic",50.4
"National Ethnic Minority",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",59.9
"Print News",0
"Protestors",49.4
"Provincial",0
"Rebel",0
"Refugees",0
"Social",244.4
"Unidentified Forces",53
"Women",0
