"TSectors","Intensity"
"(National) Minor Party",113.1
"Army",0
"Catholic",0
"Criminals",119.1
"Dissident",188.7
"Education",107.1
"Executive Office",89.8
"General Population",73.9
"Government",0
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",195.1
"International Religious",0
"Kurd (Ethnic Group)",178.1
"Labor",107.1
"Legal",108.1
"Local",0
"Media",97.7
"Military",261.6
"Municipal",0
"Muslim",0
"National Religious",113.1
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",109.1
"Parties",120.8
"Police",115.2
"Protestors",26.8
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",0
"Social",201.9
"Unidentified Forces",0
