"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Business",0
"Center Right",0
"Communist",0
"Criminals",0
"Dissident",24
"Education",0
"Elite",5.8
"Executive",0
"Executive Office",0
"General Population",0
"Government",18
"Government Major Party (In Government)",0
"Ideological",5
"Judicial",0
"Labor",0
"Legal",0
"Local",0
"Medical",0
"Military",0
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organizations",0
"Police",29.5
"Protestors",5
"Rebel",5
"Social",87
"Unidentified Forces",15
"Upper House",63
