"TSectors","Intensity"
"Army",32
"Business",63.8
"Center Left",0
"Christian",49
"Criminals",145
"Dissident",149.6
"Education",81
"Elections Ministry",40
"Entertainment",0
"Far Right",0
"Food Ministry",33.6
"General Population",0
"Government",0
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",0
"Labor",0
"Lower House",0
"Medical",35.6
"Military",0
"Military Intelligence",0
"Muslim",113.7
"National Religious",0
"Parties",23.5
"Police",17
"Protestors",45.6
"Radicals",0
"Rebel",0
"Separatists",0
"Social",747.3
"State Owned Enterprises",0
"State-Owned Heavy Industrial",0
"Unidentified Forces",59.2
