"TSectors","Intensity"
"Business",5
"Cabinet",0
"Criminals",0
"Dissident",28.5
"Education",0
"Elite",0
"Executive",0
"Executive Office",1
"Exiles",0
"Foreign Ministry",0
"General Population",0
"Government",207.8
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Interior",0
"International Religious",41
"Judicial",0
"Labor",0
"Legal",0
"Legislative",0
"Media",2
"Medical",0
"Military",0
"Muslim",47
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",7
"Police",0
"Protestors",3
"Rebel",0
"Refugees",0
"Social",87.5
"Unidentified Forces",142
