"TSectors","Intensity"
"Army",0
"Business",29.6
"Center Left",0
"Christian",0
"Criminals",108.8
"Dissident",84
"Education",19
"Elections Ministry",22
"Entertainment",19
"Far Right",17.2
"Food Ministry",0
"General Population",241.2
"Government",154.9
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",15
"Labor",32.6
"Lower House",0
"Medical",53.5
"Military",23
"Military Intelligence",24
"Muslim",13
"National Religious",0
"Parties",47.6
"Police",111.3
"Protestors",22
"Radicals",0
"Rebel",0
"Separatists",0
"Social",240.5
"State Owned Enterprises",0
"State-Owned Heavy Industrial",0
"Unidentified Forces",17.5
