"TSectors","Intensity"
"(National) Minor Party",0
"Agriculture",0
"Army",0
"Centrist",0
"Criminals",0
"Dissident",30.8
"General Population",0
"Health Ministry",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Labor",0
"Local",0
"Media",0
"Military",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",30.8
"Nongovernmental Organizations",0
"Police",0
"Protestors",21.8
"Provincial",16.8
"Radicals",0
"Rebel",0
"Social",84.6
"State-Owned Transportation",0
"Unidentified Forces",0
