"TSectors","Intensity"
"(National) Major Party",0
"Army",67
"Business",31
"Criminals",0
"Dissident",507.2
"Education",10
"Executive",15
"Fundamentalist",0
"General Population",331.8
"Government",509
"Ideological",0
"Insurgents",145
"Intelligence Ministry",0
"International Religious",0
"Judicial",0
"Labor",0
"Legal",0
"Legislative",426.4
"Local",0
"Media",17
"Medical",0
"Military",204.8
"Municipal",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",0
"Police",194
"Protestors",0
"Provincial",7
"Radicals",0
"Rebel",0
"Social",392.7
"Sunni",241
"Unidentified Forces",235.6
