"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Criminals",0
"Defense",0
"Dissident",52.3
"Education",0
"Far Left",0
"Far Right",0
"General Population",151.3
"Government",40.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",0
"International Ethnic",0
"Labor",54.7
"Legislative",57.7
"Local",74.7
"Marines",0
"Media",0
"Medical",0
"Military",75.3
"Municipal",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organizations",0
"Parties",55.7
"Police",41.7
"Protestors",0
"Provincial",0
"Rebel",53.7
"Social",67.7
"South American Indigenous",0
"Unidentified Forces",56.7
