"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",48
"Business",226.2
"Criminals",276.6
"Dissident",284.6
"Education",103.2
"General Population",483.8
"Government",453
"Government Major Party (In Government)",46.2
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",45
"International Religious",136.1
"Kashmiri",1.6
"Labor",106.4
"Legislative",84.3
"Media",38
"Medical",105.1
"Military",400.7
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",72
"Nongovernmental Organizations",85
"Opposition Major Party (Out Of Government)",70
"Parties",143.3
"Police",214.6
"Protestors",69
"Radicals",46
"Rebel",122
"Separatists",66
"Sikh",0
"Social",2219.7
"Unidentified Forces",221
