"TSectors","Intensity"
"Agricultural",0
"Army",16.4
"Banned Parties",0
"Center Left",0
"Criminals",42.8
"Dissident",28.6
"Education",0
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",25.4
"Government",6.7
"Human Rights IGOs",12.4
"Human Rights NGOs",0
"Information",0
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",0
"Labor NGOs",0
"Legal",0
"Media",6.4
"Military",33.4
"Military Intelligence",0
"National",7.4
"Nongovernmental Organization (International)",19.9
"Nongovernmental Organizations",0
"Police",41.4
"Protestors",7
"Radicals",0
"Radio News",0
"Rebel",66.4
"Social",21.2
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",7.4
