"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Centrist",0
"Criminals",0
"Dissident",6.6
"Education",0
"Elite",0
"Executive Office",0
"Exiles",0
"General Population",154.6
"Government",17.1
"Human Rights NGOs",0
"Intelligence Ministry",6.6
"International Religious",14.6
"Local",0
"Media",0
"Military",96.6
"Muslim",0
"National Religious",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",43.6
"Separatists",0
"Social",7.8
"Tuareg",0
"Unidentified Forces",38.6
