"TSectors","Intensity"
"Agriculture",0
"Business",17.1
"Catholic",0
"Criminals",81.5
"Dissident",0
"Education",7.6
"Exiles",0
"Food Ministry",0
"General Population",504.2
"Government",1.2
"Heavy Industrial",0
"Human Rights IGOs",0
"Human Rights Ministry",0
"Human Rights NGOs",0
"Industrial",0
"Intelligence Ministry",16.5
"Jewish",0
"Labor",32.3
"Labor Ministry",0
"Media",19.5
"Medical",21.5
"Military",0
"Military Intelligence",0
"Muslim",0
"National Religious",18.7
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",23.5
"Police",36.5
"Protestors",18.5
"Provincial Party",0
"Radicals",0
"Rebel",0
"Refugees",19.5
"Social",439.3
"Unidentified Forces",21.5
