"TSectors","Intensity"
"(National) Minor Party",0
"Army",0
"Catholic",0
"Criminals",16.5
"Dissident",143.5
"Education",0
"Executive Office",2.1
"General Population",102.5
"Government",255.4
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",476.3
"International Religious",0
"Kurd (Ethnic Group)",1168.7
"Labor",0
"Legal",0
"Local",0
"Media",2.5
"Military",0
"Municipal",0
"Muslim",6
"National Religious",31
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",13.5
"Police",2.5
"Protestors",0
"Radicals",0
"Rebel",0
"Refugees",8.5
"Separatists",0
"Social",273.6
"Unidentified Forces",13.5
