"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",10
"Communist",0
"Criminals",40
"Dissident",10
"Education",0
"Environment Ministry",0
"General Population",82.6
"Government",131
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Labor",0
"Legislative",7.5
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Nationalist",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",32.5
"Protestors",36
"Provincial",0
"Radicals",0
"Rebel",0
"Refugees",0
"Regional Diplomatic IGOs",0
"Social",60.3
"Transportation Business",0
"Unidentified Forces",0
"Women",0
