"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",39.2
"Business",26.6
"Criminals",38.2
"Defense",29.2
"Dissident",351.1
"Education",0
"Far Left",3045.2
"Far Right",0
"General Population",221
"Government",209.5
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",82.2
"Insurgents",0
"International Ethnic",0
"Labor",0
"Legislative",0
"Local",0
"Marines",0
"Media",29.2
"Medical",0
"Military",0
"Municipal",0
"National Ethnic Minority",0
"National Religious",38.2
"Nongovernmental Organizations",0
"Parties",24
"Police",0
"Protestors",0
"Provincial",0
"Rebel",0
"Social",270.2
"South American Indigenous",0
"Unidentified Forces",31.4
