"TSectors","Intensity"
"Agricultural",0
"Business",0
"Christian",0
"Criminals",13
"Dissident",91.5
"Education",3.8
"Elections Ministry",0
"Exiles",0
"General Population",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"Insurgents",3
"International Dissident",0
"International Insurgents",0
"International Religious",0
"Labor",0
"Legal",11
"Marines",0
"Media",0
"Military",20
"Municipal",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",5
"Police",40
"Protestors",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",232.2
"State Owned Enterprises",0
"State-Owned Transportation",8
"Sunni",0
"Unidentified Forces",18
