"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Buddhist",0
"Business",16.2
"Criminals",70.7
"Dissident",50.8
"Education",32.6
"Elite",15.2
"Exiles",0
"General Population",187.7
"Government",40.7
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",0
"Judicial",0
"Labor",28.7
"Legislative",16.2
"Media",13.2
"Medical",0
"Military",24.7
"Municipal",0
"Muslim",0
"National Religious",18.2
"Nongovernmental Organization (International)",27.2
"Nongovernmental Organizations",0
"Opposition Major Party (Out Of Government)",0
"Parties",0
"Police",34.7
"Protestors",16.8
"Radicals",0
"Rebel",19.2
"Social",285.3
"Unidentified Forces",25.8
