"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Centrist",0
"Criminals",0
"Dissident",3.1
"Education",0
"Elite",12.1
"Executive Office",0
"Exiles",0
"General Population",12.1
"Government",0
"Human Rights NGOs",0
"Intelligence Ministry",0
"International Religious",0
"Local",0
"Media",5.1
"Military",2.1
"Muslim",0
"National Religious",3.1
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",13.1
"Separatists",0
"Social",95.1
"Tuareg",0
"Unidentified Forces",15.1
