"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",24.3
"Communist",0
"Criminals",24.3
"Dissident",66.8
"Education",0
"Environment Ministry",0
"General Population",80.3
"Government",347.5
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",7.3
"Insurgents",0
"Labor",11.7
"Legislative",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Nationalist",0
"Nongovernmental Organization (International)",16.3
"Nongovernmental Organizations",0
"Police",131.8
"Protestors",146.3
"Provincial",0
"Radicals",0
"Rebel",0
"Refugees",0
"Regional Diplomatic IGOs",0
"Social",61
"Transportation Business",0
"Unidentified Forces",17.3
"Women",0
