"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",23
"Buddhist",0
"Business",5
"Criminals",24
"Dissident",102.4
"Education",0
"Elite",27.5
"Exiles",0
"General Population",467.6
"Government",51
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",42
"Insurgents",10
"International Religious",0
"Judicial",7
"Labor",52.7
"Legislative",0
"Media",0
"Medical",5
"Military",0
"Municipal",0
"Muslim",14
"National Religious",0
"Nongovernmental Organization (International)",24
"Nongovernmental Organizations",0
"Opposition Major Party (Out Of Government)",0
"Parties",187.5
"Police",105.6
"Protestors",52.5
"Radicals",0
"Rebel",0
"Social",35
"Unidentified Forces",0
