"TSectors","Intensity"
"(National) Minor Party",0
"Agriculture",0
"Army",0
"Centrist",0
"Criminals",0
"Dissident",251.7
"General Population",76.6
"Health Ministry",0
"Human Rights IGOs",9
"Human Rights NGOs",0
"Labor",0
"Local",0
"Media",5
"Military",4.5
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",19
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Social",82.2
"State-Owned Transportation",0
"Unidentified Forces",0
