"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",11
"Business",7
"Criminals",0
"Dissident",513.8
"Education",44.5
"General Population",252.6
"Government",1471.1
"Government Major Party (In Government)",0
"Human Rights IGOs",92.4
"Human Rights NGOs",0
"Ideological",26
"Insurgents",0
"International Religious",45.4
"Kashmiri",0
"Labor",30
"Legislative",52.4
"Media",0
"Medical",25.5
"Military",107.5
"Muslim",1
"National Religious",33.2
"Nongovernmental Organization (International)",30
"Nongovernmental Organizations",28.2
"Opposition Major Party (Out Of Government)",23
"Parties",14.5
"Police",22.2
"Protestors",15
"Radicals",0
"Rebel",6.6
"Separatists",12
"Sikh",4
"Social",2717.4
"Unidentified Forces",267.5
