"TSectors","Intensity"
"(National) Major Party",7
"Agricultural",0
"Buddhist",0
"Business",0
"Criminals",22.2
"Dissident",0
"Education",36
"Elite",0
"Exiles",0
"General Population",0
"Government",93.9
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",0
"Judicial",0
"Labor",0
"Legislative",0
"Media",0
"Medical",0
"Military",0
"Municipal",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",24
"Nongovernmental Organizations",0
"Opposition Major Party (Out Of Government)",0.6
"Parties",5
"Police",0
"Protestors",12
"Radicals",0
"Rebel",0
"Social",180.3
"Unidentified Forces",5
