"TSectors","Intensity"
"Army",2.8
"Business",64.6
"Center Left",0
"Christian",0
"Criminals",86
"Dissident",194.2
"Education",0
"Elections Ministry",15.8
"Entertainment",0
"Far Right",15.8
"Food Ministry",0
"General Population",297.8
"Government",0
"Government Major Party (In Government)",0
"Human Rights NGOs",0
"Insurgents",0
"International Religious",0
"Labor",17
"Lower House",14.5
"Medical",0
"Military",0
"Military Intelligence",0
"Muslim",4.2
"National Religious",30
"Parties",15.4
"Police",0
"Protestors",13.8
"Radicals",0
"Rebel",13.8
"Separatists",18.8
"Social",312.4
"State Owned Enterprises",0
"State-Owned Heavy Industrial",0
"Unidentified Forces",44.2
