"TSectors","Intensity"
"Agriculture",0
"Business",13.9
"Catholic",0
"Criminals",0
"Dissident",99.7
"Education",47.8
"Exiles",0
"Food Ministry",0
"General Population",0
"Government",0
"Heavy Industrial",0
"Human Rights IGOs",0
"Human Rights Ministry",0
"Human Rights NGOs",0
"Industrial",34.7
"Intelligence Ministry",0
"Jewish",0
"Labor",27.3
"Labor Ministry",0
"Media",31.7
"Medical",0
"Military",46.1
"Military Intelligence",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",37.7
"Police",0
"Protestors",40.7
"Provincial Party",37.7
"Radicals",0
"Rebel",0
"Refugees",0
"Social",925.9
"Unidentified Forces",37.7
