"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Center Right",0
"Communist",0
"Criminals",2
"Dissident",25.6
"Education",0
"Elite",7
"Energy Ministry",0
"Entertainment",0
"Ethnic NGOs",0
"Exiles",0
"General Population",91
"Government",21.5
"Human Rights IGOs",0
"Ideological",7
"Insurgents",0
"Judicial",0
"Labor",22
"Legal",0
"Local",19.5
"Media",0
"Medical",0
"Military",2
"Municipal",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",39.5
"Protestors",4
"Provincial",0
"Rebel",0
"Social",7.9
"Transportation Business",0
"Unidentified Forces",12
