"TSectors","Intensity"
"Business",10
"Criminals",0
"Defense",12
"Dissident",194
"Education",18
"Elite",0
"Executive",11
"Executive Office",7.4
"General Population",293
"Government",359.9
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Dissident",0
"International Radicals",0
"International Religious",22
"Labor",0
"Local",0
"Media",0
"Medical",0
"Military",50.2
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",15
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",512
"Separatists",0
"Shia",0
"Social",261.6
"Unidentified Forces",141
