"TSectors","Intensity"
"(National) Minor Party",0
"Air Force",0
"Army",8
"Business",13.8
"Center Right",0
"Centrist",5.6
"Criminals",21
"Dissident",35.6
"Education",0
"Executive",0
"General Population",0
"Government",941.1
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",0
"International Religious",0
"Labor",0
"Local",17
"Media",0
"Medical",0
"Military",0
"Muslim",0
"National Religious",5
"News",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",8
"Parties",14.3
"Police",74.5
"Protestors",22.1
"Provincial",0
"Radicals",0
"Rebel",66.6
"Social",1413.8
"Unidentified Forces",862.3
