"TSectors","Intensity"
"Agricultural",0
"Business",0
"Catholic",0
"Criminals",108.2
"Dissident",20.5
"Education",0
"Entertainment",0
"Environment Ministry",0
"General Population",387.5
"Government",102.1
"Human Rights NGOs",0
"International Religious",0
"Justice",0
"Labor",0
"Legal",0
"Legislative",49.3
"Local",77.6
"Media",0
"Medical",0
"Military",49.8
"Municipal",0
"Muslim",0
"National Religious",18
"Nilotic",0
"Nongovernmental Organization (International)",13.5
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Provincial",0
"Rebel",0
"Refugees",14
"Social",67.1
"Television Entertainment",0
"Unidentified Forces",24
"Upper House",0
