"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Centrist",0
"Criminals",0
"Dissident",25.6
"Education",0
"Elite",20
"Executive Office",0
"Exiles",0
"General Population",0
"Government",328.9
"Human Rights NGOs",0
"Intelligence Ministry",0
"International Religious",6.6
"Local",0
"Media",0
"Military",0
"Muslim",0
"National Religious",0
"Police",9
"Protestors",0
"Provincial",0
"Radicals",10
"Rebel",120
"Separatists",0
"Social",263.7
"Tuareg",0
"Unidentified Forces",61
