"TSectors","Intensity"
"Army",199.9
"Business",196.5
"Center Left",196.9
"Christian",0
"Criminals",207.9
"Dissident",277.9
"Education",199.5
"Elections Ministry",0
"Entertainment",0
"Far Right",0
"Food Ministry",0
"General Population",399.5
"Government",0
"Government Major Party (In Government)",193.5
"Human Rights NGOs",0
"Insurgents",0
"International Religious",169.6
"Labor",195.9
"Lower House",0
"Medical",397.8
"Military",212.1
"Military Intelligence",0
"Muslim",0
"National Religious",0
"Parties",196.2
"Police",217.2
"Protestors",218.9
"Radicals",0
"Rebel",196.9
"Separatists",0
"Social",457.2
"State Owned Enterprises",0
"State-Owned Heavy Industrial",0
"Unidentified Forces",163.6
