"TSectors","Intensity"
"Business",0
"Criminals",72.2
"Defense",0
"Dissident",101.2
"Education",27.2
"Elite",19.2
"Executive",0
"Executive Office",0
"General Population",187.6
"Government",286.7
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"Intelligence Ministry",0
"International Dissident",0
"International Radicals",0
"International Religious",0
"Labor",8.2
"Local",0
"Media",0
"Medical",0
"Military",0
"Muslim",17.2
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",160.2
"Protestors",26.2
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",0
"Shia",4.2
"Social",9.4
"Unidentified Forces",137.2
