"TSectors","Intensity"
"Business",20
"Center Left",0
"Criminals",0
"Dissident",17
"Exiles",0
"General Population",37.1
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",0
"Insurgents",0
"Judicial",14
"Labor",0
"Legal",0
"Media",10
"Medical",0
"Military",43
"National",0
"National Ethnic",0
"National Ethnic Minority",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Online News",0
"Organized Violent",0
"Parties",3.8
"Police",59.6
"Protestors",28
"Provincial",0
"Provincial Party",0
"Radio News",0
"Rebel",0
"Social",22
"Unidentified Forces",46.8
"Upper House",0
