"TSectors","Intensity"
"Agricultural",0
"Business",0
"Catholic",0
"Criminals",20.8
"Dissident",0
"Education",9
"Entertainment",0
"Environment Ministry",0
"General Population",131.6
"Government",17.2
"Human Rights NGOs",21.4
"International Religious",0
"Justice",0
"Labor",6
"Legal",4
"Legislative",9.7
"Local",0
"Media",0
"Medical",0
"Military",23
"Municipal",0
"Muslim",0
"National Religious",8
"Nilotic",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",4
"Police",22
"Protestors",0
"Provincial",0
"Rebel",4
"Refugees",0
"Social",48.6
"Television Entertainment",0
"Unidentified Forces",9
"Upper House",0
