"TSectors","Intensity"
"(National) Minor Party",0
"Agricultural",0
"Business",0
"Centrist",0
"Criminals",0
"Dissident",72
"Education",0
"Elite",0
"Executive Office",0
"Exiles",0
"General Population",157.6
"Government",37.6
"Human Rights NGOs",0
"Intelligence Ministry",0
"International Religious",0
"Local",0
"Media",0
"Military",165.6
"Muslim",12
"National Religious",0
"Police",0
"Protestors",0
"Provincial",0
"Radicals",9.5
"Rebel",149.5
"Separatists",0
"Social",23.5
"Tuareg",10
"Unidentified Forces",74
