"TSectors","Intensity"
"(National) Major Party",0
"Army",0
"Business",36.9
"Criminals",315.9
"Dissident",0
"Education",41.9
"Executive",193.5
"Fundamentalist",0
"General Population",1168.8
"Government",136.1
"Ideological",179.8
"Insurgents",0
"Intelligence Ministry",0
"International Religious",205.3
"Judicial",0
"Labor",55.9
"Legal",0
"Legislative",1.1
"Local",22.6
"Media",0
"Medical",0
"Military",376.4
"Municipal",0
"National Religious",15.9
"Nongovernmental Organizations",0
"Parties",41.6
"Police",383
"Protestors",27.3
"Provincial",0
"Radicals",0
"Rebel",80.9
"Social",0
"Sunni",0
"Unidentified Forces",164.9
