"TSectors","Intensity"
"(National) Major Party",0
"Banned Parties",0
"Christian",0
"Criminals",20.4
"Dissident",2.4
"Education",0
"Elections Ministry",0
"General Population",4.4
"Government",61.6
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",0
"International Ethnic",15.4
"International Religious",7.4
"Legal",0
"Legislative",0
"Media",0
"Military",0
"Municipal",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Oromo",0
"Parties",0
"Police",10.4
"Protestors",5.4
"Radicals",0
"Rebel",15.4
"Refugees",0
"Separatists",19.4
"Social",67
"State Media",0
"Unidentified Forces",15.4
