"TSectors","Intensity"
"(National) Major Party",0
"Agricultural",0
"Business",0
"Center Right",6
"Communist",0
"Criminals",0
"Dissident",8
"Education",0
"Elite",0
"Executive",0
"Executive Office",0
"General Population",10
"Government",14
"Government Major Party (In Government)",0
"Ideological",0
"Judicial",0
"Labor",3
"Legal",0
"Local",0
"Medical",0
"Military",0
"National",0
"National Religious",0
"Navy",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Rebel",0
"Social",26
"Unidentified Forces",8
"Upper House",0
