"TSectors","Intensity"
"Agricultural",0
"Banned Parties",9.5
"Business",15.5
"Criminals",90.1
"Defense",7.1
"Dissident",41.5
"Education",0
"Elite",0
"Executive",180.8
"General Population",2963.5
"Government",965.2
"Intelligence Ministry",0
"Interior",0
"International Religious",94.5
"Judicial",9.5
"Kurd (Ethnic Group)",19.5
"Labor",51
"Legal",6.5
"Legislative",16.1
"Local",0
"Media",137.6
"Medical",0
"Military",518.7
"Muslim",0
"National Religious",252.6
"Nongovernmental Organizations",28.5
"Parties",49.5
"Police",805.5
"Protestors",0
"Provincial",98.5
"Radicals",10.5
"Rebel",273.1
"Social",35.9
"Sunni",0
"Unidentified Forces",209.5
