"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",41
"Dissident",26
"Education",0
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",39.6
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",23
"Information",22.6
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",26
"Labor NGOs",0
"Legal",0
"Media",35
"Military",34.2
"Military Intelligence",0
"National",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",22.6
"Police",24
"Protestors",26
"Radicals",0
"Radio News",0
"Rebel",0
"Social",32
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",0
