"TSectors","Intensity"
"Agricultural",73.2
"Buddhist",80.4
"Business",67.4
"Criminals",111.4
"Dissident",136.4
"Education",82.2
"Exiles",0
"Finance",66.9
"General Population",224.9
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Ideological",97
"International Ethnic",0
"International Religious",85.4
"Local",91.4
"Media",0
"Medical",81.4
"Municipal",0
"Muslim",0
"National Ethnic",0
"National Religious",72.4
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",85.4
"Police",85.6
"Protestors",0
"Provincial",0
"Radicals",0
"Rebel",0
"Separatists",0
"Social",239.7
"State Media",81.4
"Unidentified Forces",81.4
"Uyghur",0
