"TSectors","Intensity"
"Agricultural",0
"Army",79.8
"Banned Parties",0
"Center Left",0
"Criminals",115.4
"Dissident",156.2
"Education",85.4
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",81.1
"Government",0
"Human Rights IGOs",106.8
"Human Rights NGOs",0
"Information",0
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",0
"Labor NGOs",0
"Legal",0
"Media",79
"Military",94.4
"Military Intelligence",0
"National",78.5
"Nongovernmental Organization (International)",105.4
"Nongovernmental Organizations",0
"Police",111.6
"Protestors",82.4
"Radicals",0
"Radio News",0
"Rebel",0
"Social",74.4
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",105.4
