"TSectors","Intensity"
"Agricultural",20.7
"Business",0
"Catholic",0
"Criminals",196.2
"Dissident",52.7
"Education",0
"Entertainment",0
"Environment Ministry",0
"General Population",358.1
"Government",295.9
"Human Rights NGOs",0
"International Religious",0
"Justice",0
"Labor",0
"Legal",0
"Legislative",0
"Local",28.8
"Media",0
"Medical",0
"Military",30.7
"Municipal",0
"Muslim",0
"National Religious",48.2
"Nilotic",0
"Nongovernmental Organization (International)",34.7
"Nongovernmental Organizations",14.7
"Police",0
"Protestors",0
"Provincial",0
"Rebel",0
"Refugees",0
"Social",5.9
"Television Entertainment",0
"Unidentified Forces",23.7
"Upper House",0
