"TSectors","Intensity"
"(National) Minor Party",0
"Army",0
"Catholic",0
"Criminals",35
"Dissident",68
"Education",0
"Executive Office",21.1
"General Population",174.3
"Government",246.6
"Government Major Party (In Government)",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Insurgents",0
"International Ethnic",162.1
"International Religious",0
"Kurd (Ethnic Group)",124
"Labor",74
"Legal",28
"Local",0
"Media",32
"Military",55.9
"Municipal",0
"Muslim",0
"National Religious",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Parties",0
"Police",52.5
"Protestors",58
"Radicals",0
"Rebel",0
"Refugees",0
"Separatists",27.4
"Social",166.2
"Unidentified Forces",30
