"TSectors","Intensity"
"Agricultural",0
"Army",0
"Banned Parties",0
"Center Left",0
"Criminals",0
"Dissident",34.1
"Education",17.7
"Exiles",0
"Far Left",0
"Fundamentalist",0
"General Population",37.1
"Government",0
"Human Rights IGOs",0
"Human Rights NGOs",0
"Information",26.7
"International Ethnic",0
"Kurd (Ethnic Group)",0
"Labor",0
"Labor NGOs",0
"Legal",26.7
"Media",9.7
"Military",19.5
"Military Intelligence",0
"National",0
"Nongovernmental Organization (International)",0
"Nongovernmental Organizations",0
"Police",0
"Protestors",0
"Radicals",0
"Radio News",0
"Rebel",0
"Social",19.7
"State-Owned Science",0
"Sunni",0
"Unidentified Forces",0
